objectid,objecttype,attributeid,attributetype
chndm_1968-111-87,object,1860s,date
chndm_1968-116-2-a,object,1820s,date
chndm_1968-116-2-a,object,1870s,date
chndm_1968-135-16-a,object,1600s,date
chndm_1968-135-16-a,object,1800s,date
chndm_1968-135-4,object,1600s,date
chndm_1968-135-4,object,1690s,date
chndm_1968-135-87-a,object,1850s,date
chndm_1968-135-87-a,object,1900s,date
chndm_1968-78-3-a,object,1770s,date
chndm_1968-78-3-a,object,1800s,date
chndm_1968-87-1,object,1700s,date
chndm_1968-87-1,object,1790s,date
chndm_1969-121-40,object,1850s,date
chndm_1969-121-44,object,1850s,date
chndm_1969-34-18-a_b,object,1800s,date
chndm_1969-34-18-a_b,object,1900s,date
chndm_1969-40-41,object,1860s,date
chndm_1969-40-41,object,1880s,date
chndm_1969-62-8,object,1600s,date
chndm_1969-62-8,object,1690s,date
chndm_1970-26-21,object,1850s,date
chndm_1970-26-21,object,1870s,date
chndm_1970-26-4-ac,object,1870s,date
chndm_1970-26-4-ac,object,1880s,date
chndm_1970-26-4-ccc,object,1870s,date
chndm_1970-26-4-ccc,object,1880s,date
chndm_1970-26-4-cdd,object,1870s,date
chndm_1970-26-4-cdd,object,1880s,date
chndm_1970-28-25,object,1770s,date
chndm_1970-28-25,object,1820s,date
chndm_1970-58-9,object,1770s,date
chndm_1970-58-9,object,1780s,date
chndm_1971-46-1-a_b,object,1850s,date
chndm_1971-46-1-a_b,object,1860s,date
chndm_1971-50-103,object,1500s,date
chndm_1971-50-103,object,1700s,date
chndm_1971-50-206,object,1500s,date
chndm_1971-50-206,object,1700s,date
chndm_1971-50-288,object,1650s,date
chndm_1971-50-288,object,1660s,date
chndm_1971-50-302,object,1500s,date
chndm_1971-50-302,object,1700s,date
chndm_1971-50-375,object,1670s,date
chndm_1971-50-375,object,1720s,date
chndm_1971-50-402,object,1600s,date
chndm_1971-50-402,object,1700s,date
chndm_1971-50-428,object,1650s,date
chndm_1971-50-428,object,1700s,date
chndm_1971-50-62-a_c,object,1500s,date
chndm_1971-50-62-a_c,object,1700s,date
chndm_1971-50-77,object,1500s,date
chndm_1971-50-77,object,1600s,date
chndm_1971-79-2-a_b,object,1810s,date
chndm_1971-82-10,object,1870s,date
chndm_1971-82-10,object,1910s,date
chndm_1972-36-12,object,1700s,date
chndm_1972-36-12,object,1900s,date
chndm_1972-39-5,object,1870s,date
chndm_1972-39-5,object,1900s,date
chndm_1972-42-137-a_d,object,1830s,date
chndm_1972-42-137-a_d,object,1850s,date
chndm_1972-42-194,object,1810s,date
chndm_1972-42-194,object,1830s,date
chndm_1972-42-214-a_f,object,1830s,date
chndm_1972-42-214-a_f,object,1840s,date
chndm_1972-42-219-a_d,object,1800s,date
chndm_1972-42-219-a_d,object,1820s,date
chndm_1972-42-35,object,1810s,date
chndm_1972-42-35,object,1830s,date
chndm_1972-42-38-a_c,object,1800s,date
chndm_1972-42-38-a_c,object,1820s,date
chndm_1972-49-1,object,1900s,date
chndm_1972-49-1,object,1910s,date
chndm_1972-5-3-a,object,1900s,date
chndm_1972-81-10,object,1600s,date
chndm_1972-81-10,object,1700s,date
chndm_1972-81-22,object,1200s,date
chndm_1973-25-8,object,1800s,date
chndm_1973-25-8,object,1900s,date
chndm_1973-29-20,object,1800s,date
chndm_1973-29-20,object,1900s,date
chndm_1973-29-22,object,1800s,date
chndm_1973-29-22,object,1900s,date
chndm_1973-32-9,object,1900s,date
chndm_1973-42-23-a_b,object,1890s,date
chndm_1973-42-23-a_b,object,1910s,date
chndm_1973-51-110-a_b,object,1770s,date
chndm_1973-51-110-a_b,object,1800s,date
chndm_1973-51-138,object,1790s,date
chndm_1973-51-18-a_d,object,1700s,date
chndm_1973-51-18-a_d,object,1800s,date
chndm_1973-51-24-a_c,object,1700s,date
chndm_1973-51-24-a_c,object,1800s,date
chndm_1973-51-27,object,1700s,date
chndm_1973-51-27,object,1800s,date
chndm_1973-51-30,object,1700s,date
chndm_1973-51-30,object,1800s,date
chndm_1973-51-5-a_b,object,1770s,date
chndm_1973-51-5-a_b,object,1800s,date
chndm_1973-6-5,object,1840s,date
chndm_1973-6-5,object,1850s,date
chndm_1973-76-21-a,object,1400s,date
chndm_1973-76-21-a,object,1800s,date
chndm_1974-100-23,object,1780s,date
chndm_1974-100-23,object,1790s,date
chndm_1974-101-11,object,1700s,date
chndm_1974-101-11,object,1900s,date
chndm_1974-101-13,object,1770s,date
chndm_1974-101-13,object,1800s,date
chndm_1974-101-23,object,1400s,date
chndm_1974-101-23,object,1600s,date
chndm_1974-112-17-a_h,object,1700s,date
chndm_1974-112-17-a_h,object,1820s,date
chndm_1974-27-10,object,1870s,date
chndm_1974-27-10,object,1900s,date
chndm_1974-27-5,object,1860s,date
chndm_1974-27-5,object,1880s,date
chndm_1974-41-8,object,1850s,date
chndm_1974-41-8,object,1870s,date
chndm_1974-42-11,object,1780s,date
chndm_1974-52-30,object,1620s,date
chndm_1974-52-30,object,1670s,date
chndm_1974-52-6,object,1770s,date
chndm_1974-52-6,object,1800s,date
chndm_1974-52-62,object,1800s,date
chndm_1974-52-62,object,1820s,date
chndm_1974-52-69,object,1670s,date
chndm_1974-52-69,object,1700s,date
chndm_1974-72-10,object,1800s,date
chndm_1974-74-1-a_j,object,1600s,date
chndm_1974-74-1-a_j,object,1700s,date
chndm_1975-44-2,object,1800s,date
chndm_1975-44-2,object,1850s,date
chndm_1975-60-19-a,object,1800s,date
chndm_1975-60-19-a,object,1820s,date
chndm_1975-60-44-c,object,1780s,date
chndm_1975-81-2,object,1790s,date
chndm_1975-85-4-3-a_e,object,1800s,date
chndm_1975-85-4-3-a_e,object,1900s,date
chndm_1975-86-15,object,1800s,date
chndm_1975-86-15,object,1820s,date
chndm_1975-86-4,object,1790s,date
chndm_1976-1-55,object,1770s,date
chndm_1976-1-55,object,1800s,date
chndm_1976-103-16,object,1720s,date
chndm_1976-103-16,object,1820s,date
chndm_1976-103-229,object,1770s,date
chndm_1976-103-229,object,1820s,date
chndm_1976-116-2,object,1870s,date
chndm_1976-116-2,object,1900s,date
chndm_1976-46-7,object,1810s,date
chndm_1976-46-7,object,1830s,date
chndm_1976-48-61-2,object,1800s,date
chndm_1976-86-1-a_b,object,1400s,date
chndm_1976-86-1-a_b,object,1500s,date
chndm_1977-110-1-11,object,1750s,date
chndm_1977-110-1-11,object,1770s,date
chndm_1977-110-1-36,object,1750s,date
chndm_1977-110-1-36,object,1770s,date
chndm_1977-110-1-5,object,1750s,date
chndm_1977-110-1-5,object,1770s,date
chndm_1977-110-3-19,object,1750s,date
chndm_1977-110-3-19,object,1770s,date
chndm_1977-31-2-a_g,object,1870s,date
chndm_1977-31-2-a_g,object,1880s,date
chndm_1977-65-2,object,1830s,date
chndm_1977-65-2,object,1840s,date
chndm_1977-80-1,object,1800s,date
chndm_1977-80-1,object,1900s,date
chndm_1978-146-6,object,1900s,date
chndm_1978-146-765,object,1880s,date
chndm_1978-146-765,object,1900s,date
chndm_1978-4-1,object,1750s,date
chndm_1978-4-1,object,1850s,date
chndm_1979-91-1073,object,1900s,date
chndm_1979-91-1073,object,1910s,date
chndm_1979-91-1081,object,1900s,date
chndm_1979-91-1081,object,1910s,date
chndm_1979-91-1127,object,1900s,date
chndm_1979-91-1127,object,1910s,date
chndm_1979-91-1160,object,1900s,date
chndm_1979-91-1160,object,1910s,date
chndm_1979-91-1203,object,1900s,date
chndm_1979-91-1203,object,1910s,date
chndm_1979-91-1276,object,1900s,date
chndm_1979-91-1276,object,1910s,date
chndm_1979-91-1287,object,1900s,date
chndm_1979-91-1287,object,1910s,date
chndm_1979-91-1317,object,1900s,date
chndm_1979-91-1317,object,1910s,date
chndm_1979-91-214,object,1900s,date
chndm_1979-91-214,object,1910s,date
chndm_1979-91-220,object,1900s,date
chndm_1979-91-220,object,1910s,date
chndm_1979-91-250,object,1900s,date
chndm_1979-91-250,object,1910s,date
chndm_1979-91-274,object,1900s,date
chndm_1979-91-274,object,1910s,date
chndm_1979-91-283,object,1900s,date
chndm_1979-91-283,object,1910s,date
chndm_1979-91-312,object,1900s,date
chndm_1979-91-312,object,1910s,date
chndm_1979-91-319,object,1900s,date
chndm_1979-91-319,object,1910s,date
chndm_1979-91-391,object,1900s,date
chndm_1979-91-391,object,1910s,date
chndm_1979-91-438,object,1900s,date
chndm_1979-91-438,object,1910s,date
chndm_1979-91-499,object,1900s,date
chndm_1979-91-499,object,1910s,date
chndm_1979-91-521,object,1900s,date
chndm_1979-91-521,object,1910s,date
chndm_1979-91-570,object,1900s,date
chndm_1979-91-570,object,1910s,date
chndm_1979-91-580,object,1900s,date
chndm_1979-91-580,object,1910s,date
chndm_1979-91-607-a_b,object,1900s,date
chndm_1979-91-607-a_b,object,1910s,date
chndm_1979-91-631,object,1900s,date
chndm_1979-91-631,object,1910s,date
chndm_1979-91-647,object,1900s,date
chndm_1979-91-647,object,1910s,date
chndm_1979-91-703,object,1900s,date
chndm_1979-91-703,object,1910s,date
chndm_1979-91-858,object,1900s,date
chndm_1979-91-858,object,1910s,date
chndm_1979-91-883,object,1900s,date
chndm_1979-91-883,object,1910s,date
chndm_1979-91-886,object,1900s,date
chndm_1979-91-886,object,1910s,date
chndm_1979-91-915,object,1900s,date
chndm_1979-91-915,object,1910s,date
chndm_1979-91-919,object,1900s,date
chndm_1979-91-919,object,1910s,date
chndm_1979-91-920,object,1900s,date
chndm_1979-91-920,object,1910s,date
chndm_1979-91-951,object,1900s,date
chndm_1979-91-951,object,1910s,date
chndm_1979-91-959,object,1900s,date
chndm_1979-91-959,object,1910s,date
chndm_1980-33-11,object,1770s,date
chndm_1980-33-11,object,1790s,date
chndm_1980-73-10,object,1870s,date
chndm_1980-73-10,object,1900s,date
chndm_1980-73-18,object,1830s,date
chndm_1980-73-18,object,1840s,date
chndm_1981-11-15,object,1870s,date
chndm_1981-17-1-a_b,object,1870s,date
chndm_1981-17-1-a_b,object,1880s,date
chndm_1981-28-118,object,1600s,date
chndm_1981-28-118,object,1700s,date
chndm_1981-28-306,object,1850s,date
chndm_1981-28-31,object,1720s,date
chndm_1981-28-324,object,1850s,date
chndm_1981-28-324,object,1900s,date
chndm_1981-28-325,object,1800s,date
chndm_1981-28-325,object,1900s,date
chndm_1981-28-387,object,1800s,date
chndm_1981-28-387,object,1820s,date
chndm_1981-28-389,object,1800s,date
chndm_1981-28-389,object,1900s,date
chndm_1981-28-394,object,1800s,date
chndm_1981-28-394,object,1900s,date
chndm_1981-28-419,object,1800s,date
chndm_1981-28-419,object,1900s,date
chndm_1981-28-423,object,1820s,date
chndm_1981-28-424,object,1820s,date
chndm_1981-28-444,object,1810s,date
chndm_1981-28-59,object,1660s,date
chndm_1981-28-80,object,1730s,date
chndm_1981-28-82,object,1760s,date
chndm_1981-56-41,object,1870s,date
chndm_1981-56-41,object,1900s,date
chndm_1981-56-5,object,1870s,date
chndm_1981-56-5,object,1900s,date
chndm_1981-56-79,object,1870s,date
chndm_1981-56-79,object,1900s,date
chndm_1981-56-9,object,1870s,date
chndm_1981-56-9,object,1900s,date
chndm_1982-23-1139,object,1880s,date
chndm_1982-23-516,object,1860s,date
chndm_1982-23-516,object,1880s,date
chndm_1982-23-72,object,1870s,date
chndm_1982-23-72,object,1900s,date
chndm_1982-33-1,object,1850s,date
chndm_1983-29-14-a,object,1870s,date
chndm_1983-29-14-a,object,1890s,date
chndm_1983-29-9,object,1870s,date
chndm_1983-29-9,object,1900s,date
chndm_1983-3-1,object,1590s,date
chndm_1984-125-72,object,1880s,date
chndm_1984-125-72,object,1910s,date
chndm_1984-133-10-a_b,object,1860s,date
chndm_1984-133-10-a_b,object,1880s,date
chndm_1984-84-13,object,1870s,date
chndm_1984-84-13,object,1880s,date
chndm_1984-84-26,object,1900s,date
chndm_1984-86-18,object,1870s,date
chndm_1984-86-18,object,1880s,date
chndm_1984-86-3-42,object,1870s,date
chndm_1984-86-3-7,object,1870s,date
chndm_1984-86-4-39,object,1870s,date
chndm_1984-86-4-56,object,1870s,date
chndm_1984-86-5-32,object,1870s,date
chndm_1984-86-5-45,object,1870s,date
chndm_1984-86-5-53,object,1870s,date
chndm_1984-86-6-21,object,1870s,date
chndm_1984-86-7-3,object,1880s,date
chndm_1985-103-137-c,object,1690s,date
chndm_1985-103-137-c,object,1710s,date
chndm_1985-103-139-a,object,1720s,date
chndm_1985-103-139-a,object,1740s,date
chndm_1985-103-172,object,1690s,date
chndm_1985-103-172,object,1810s,date
chndm_1985-103-201,object,1690s,date
chndm_1985-103-201,object,1810s,date
chndm_1985-103-204,object,1770s,date
chndm_1985-103-204,object,1800s,date
chndm_1985-103-217,object,1690s,date
chndm_1985-103-217,object,1700s,date
chndm_1985-103-28,object,1590s,date
chndm_1985-103-28,object,1610s,date
chndm_1985-103-36,object,1620s,date
chndm_1985-103-36,object,1640s,date
chndm_1985-103-43-a_b,object,1800s,date
chndm_1985-103-43-a_b,object,1860s,date
chndm_1985-103-91,object,1770s,date
chndm_1985-103-91,object,1800s,date
chndm_1985-103-94,object,1690s,date
chndm_1985-103-94,object,1710s,date
chndm_1985-14-17,object,1880s,date
chndm_1985-14-17,object,1910s,date
chndm_1985-14-54,object,1880s,date
chndm_1985-14-54,object,1910s,date
chndm_1985-19-106,object,1900s,date
chndm_1985-19-107,object,1900s,date
chndm_1985-19-139,object,1900s,date
chndm_1985-19-47,object,1900s,date
chndm_1985-19-8,object,1900s,date
chndm_1985-21-2,object,1840s,date
chndm_1985-21-2,object,1860s,date
chndm_1985-68-7-a,object,1910s,date
chndm_1985-68-7-a,object,1920s,date
chndm_1985-68-7-d,object,1910s,date
chndm_1985-68-7-d,object,1920s,date
chndm_1986-113-8,object,1880s,date
chndm_1986-24-1,object,1850s,date
chndm_1986-24-1,object,1890s,date
chndm_1986-61-160,object,1810s,date
chndm_1986-61-160,object,1840s,date
chndm_1986-61-178-a_b,object,1790s,date
chndm_1986-61-178-a_b,object,1810s,date
chndm_1986-61-188,object,1780s,date
chndm_1986-61-188,object,1800s,date
chndm_1986-61-20-a_b,object,1800s,date
chndm_1986-61-20-a_b,object,1820s,date
chndm_1986-61-224-a_b,object,1810s,date
chndm_1986-61-224-a_b,object,1840s,date
chndm_1986-61-242,object,1790s,date
chndm_1986-61-242,object,1830s,date
chndm_1987-96-3,object,1800s,date
chndm_1987-96-3,object,1900s,date
chndm_1989-80-31-a_b,object,1900s,date
chndm_1989-80-31-a_b,object,1910s,date
chndm_1989-80-34-a_g,object,1900s,date
chndm_1989-80-34-a_g,object,1910s,date
chndm_1990-48-2,object,1900s,date
chndm_1991-156-1,object,1910s,date
chndm_1991-17-5,object,1830s,date
chndm_1992-156-18,object,1850s,date
chndm_1992-168-3,object,1600s,date
chndm_1992-168-3,object,1700s,date
chndm_1992-5-60-a_b,object,1800s,date
chndm_1992-5-60-a_b,object,1850s,date
chndm_1992-5-7-a_b,object,1750s,date
chndm_1992-5-7-a_b,object,1760s,date
chndm_1992-92-1-7,object,1920s,date
chndm_1993-1-1,object,1650s,date
chndm_1993-1-1,object,1700s,date
chndm_1993-134-25-a_c,object,1880s,date
chndm_1993-134-25-a_c,object,1890s,date
chndm_1994-129-3,object,1750s,date
chndm_1994-129-3,object,1760s,date
chndm_1994-3-3,object,1850s,date
chndm_1995-165-13,object,1870s,date
chndm_1995-165-13,object,1900s,date
chndm_1995-50-122,object,1800s,date
chndm_1995-50-122,object,1820s,date
chndm_1995-50-150,object,1800s,date
chndm_1995-50-150,object,1820s,date
chndm_1995-50-189,object,1800s,date
chndm_1995-50-189,object,1820s,date
chndm_1995-50-198,object,1810s,date
chndm_1995-50-198,object,1830s,date
chndm_1995-50-199,object,1820s,date
chndm_1995-50-217,object,1790s,date
chndm_1995-50-217,object,1800s,date
chndm_1995-50-332,object,1700s,date
chndm_1995-50-332,object,1750s,date
chndm_1995-50-338,object,1770s,date
chndm_1995-50-338,object,1820s,date
chndm_1995-50-347-a_d,object,1780s,date
chndm_1995-50-347-a_d,object,1800s,date
chndm_1995-50-8,object,1770s,date
chndm_1995-50-8,object,1790s,date
chndm_1995-50-81,object,1770s,date
chndm_1995-50-81,object,1780s,date
chndm_1995-70-1-a_b,object,1680s,date
chndm_1995-70-1-a_b,object,1700s,date
chndm_1997-133-1,object,1860s,date
chndm_1997-133-1,object,1870s,date
chndm_1997-136-1-1_145,object,1890s,date
chndm_1997-136-1-1_145,object,1900s,date
chndm_1998-59-2,object,1870s,date
chndm_1998-62-7,object,1850s,date
chndm_1998-62-7,object,1860s,date
chndm_1998-75-103-a_b,object,1780s,date
chndm_1998-75-103-a_b,object,1790s,date
chndm_1998-75-90,object,1790s,date
chndm_1998-75-90,object,1810s,date
chndm_1999-17-1-2,object,1710s,date
chndm_1999-17-1-2,object,1730s,date
chndm_1999-29-1,object,1870s,date
chndm_1999-29-1,object,1900s,date
chndm_1999-42-10,object,1870s,date
chndm_1999-42-10,object,1880s,date
chndm_1999-42-6,object,1880s,date
chndm_1999-42-6,object,1890s,date
chndm_2000-69-168,object,1900s,date
chndm_2000-69-205,object,1900s,date
chndm_2000-69-220,object,1900s,date
chndm_2000-69-227,object,1900s,date
chndm_2000-69-248,object,1900s,date
chndm_2000-69-286,object,1900s,date
chndm_2000-69-4,object,1900s,date
chndm_2000-69-54,object,1900s,date
chndm_2000-69-74,object,1900s,date
chndm_2000-69-79,object,1900s,date
chndm_2006-20-17,object,1700s,date
chndm_2006-20-17,object,1850s,date
chndm_2006-32-1,object,1840s,date
chndm_2007-27-26,object,1830s,date
chndm_2007-53-1,object,1880s,date
chndm_2009-18-23,object,1860s,date
chndm_2009-18-24-a_b,object,1860s,date
chndm_2013-21-40,object,1910s,date
chndm_2017-41-3,object,1870s,date
chndm_2017-41-3,object,1890s,date
chndm_2018-33-4,object,1870s,date
chndm_2018-33-4,object,1880s,date
chndm_a-a-29,object,1720s,date
chndm_a-a-29,object,1770s,date
chndm_a-t-20,object,1850s,date
chndm_a-t-775,object,1850s,date
chndm_a-t-775,object,1900s,date
chndm_a-w-240,object,1880s,date
chndm_a-w-240,object,1890s,date
chndm_1901-39-1251,object,architecture,topic
chndm_1901-39-1258,object,architecture,topic
chndm_1901-39-1392,object,landscapes,topic
chndm_1901-39-1593,object,architecture,topic
chndm_1901-39-1702,object,architecture,topic
chndm_1901-39-2056,object,theater,topic
chndm_1901-39-2179,object,architecture,topic
chndm_1901-39-2489,object,architecture,topic
chndm_1901-39-2785,object,architecture,topic
chndm_1901-39-2801,object,architecture,topic
chndm_1901-39-316,object,landscapes,topic
chndm_1901-39-3217,object,architecture,topic
chndm_1901-39-414,object,architecture,topic
chndm_1901-39-511,object,nature,topic
chndm_1901-39-623,object,architecture,topic
chndm_1901-39-632,object,architecture,topic
chndm_1901-39-689,object,architecture,topic
chndm_1904-16-125,object,architecture,topic
chndm_1904-16-157,object,nature,topic
chndm_1908-26-137,object,architecture,topic
chndm_1909-22-1-25,object,amusements,topic
chndm_1911-28-64,object,architecture,topic
chndm_1911-28-82-1,object,architecture,topic
chndm_1912-12-260,object,nature,topic
chndm_1912-12-52,object,landscapes,topic
chndm_1912-16-33,object,landscapes,topic
chndm_1912-16-64,object,landscapes,topic
chndm_1914-38-186,object,nature,topic
chndm_1917-4-115,object,landscapes,topic
chndm_1917-4-1313,object,landscapes,topic
chndm_1917-4-1318,object,landscapes,topic
chndm_1917-4-1332-b,object,landscapes,topic
chndm_1917-4-1363,object,landscapes,topic
chndm_1917-4-15-b,object,nature,topic
chndm_1917-4-157,object,architecture,topic
chndm_1917-4-158-b,object,architecture,topic
chndm_1917-4-173,object,landscapes,topic
chndm_1917-4-178,object,landscapes,topic
chndm_1917-4-203,object,landscapes,topic
chndm_1917-4-221,object,landscapes,topic
chndm_1917-4-245,object,landscapes,topic
chndm_1917-4-34-b,object,landscapes,topic
chndm_1917-4-353-b,object,landscapes,topic
chndm_1917-4-366-a,object,landscapes,topic
chndm_1917-4-464-a,object,landscapes,topic
chndm_1917-4-497,object,landscapes,topic
chndm_1917-4-516,object,landscapes,topic
chndm_1917-4-534,object,landscapes,topic
chndm_1917-4-537,object,landscapes,topic
chndm_1917-4-677,object,landscapes,topic
chndm_1917-4-825,object,landscapes,topic
chndm_1923-41-5,object,landscapes,topic
chndm_1923-41-7,object,landscapes,topic
chndm_1931-64-169,object,nature,topic
chndm_1931-70-38,object,architecture,topic
chndm_1931-70-44,object,architecture,topic
chndm_1937-22-10,object,amusements,topic
chndm_1937-38-2-b,object,architecture,topic
chndm_1938-88-1005,object,architecture,topic
chndm_1938-88-2476,object,architecture,topic
chndm_1938-88-270,object,theater,topic
chndm_1938-88-284,object,theater,topic
chndm_1938-88-321,object,theater,topic
chndm_1938-88-3540,object,architecture,topic
chndm_1938-88-3647,object,architecture,topic
chndm_1938-88-3764,object,architecture,topic
chndm_1938-88-416,object,theater,topic
chndm_1938-88-4616,object,architecture,topic
chndm_1938-88-4620,object,architecture,topic
chndm_1938-88-467,object,theater,topic
chndm_1938-88-473,object,theater,topic
chndm_1938-88-7057,object,architecture,topic
chndm_1938-88-7160,object,architecture,topic
chndm_1938-88-7161,object,architecture,topic
chndm_1938-88-88,object,theater,topic
chndm_1940-110-3,object,landscapes,topic
chndm_1940-21-37,object,architecture,topic
chndm_1940-76-15,object,architecture,topic
chndm_1941-31-215,object,landscapes,topic
chndm_1941-31-250,object,landscapes,topic
chndm_1941-49-1,object,architecture,topic
chndm_1942-50-13,object,nature,topic
chndm_1942-50-207,object,landscapes,topic
chndm_1942-50-267,object,landscapes,topic
chndm_1942-50-271,object,landscapes,topic
chndm_1942-50-412,object,landscapes,topic
chndm_1942-50-79,object,nature,topic
chndm_1943-33-1-15,object,graphic arts,topic
chndm_1943-33-1-34,object,graphic arts,topic
chndm_1943-51-103,object,architecture,topic
chndm_1943-51-402,object,architecture,topic
chndm_1947-131-114,object,landscapes,topic
chndm_1948-47-189,object,architecture,topic
chndm_1948-47-211,object,landscapes,topic
chndm_1948-47-244,object,architecture,topic
chndm_1948-47-319,object,architecture,topic
chndm_1950-102-8,object,graphic arts,topic
chndm_1950-58-11,object,theater,topic
chndm_1953-48-15,object,architecture,topic
chndm_1954-18-30,object,graphic arts,topic
chndm_1955-78-14-13,object,amusements,topic
chndm_1955-78-14-30,object,amusements,topic
chndm_1955-78-14-38,object,amusements,topic
chndm_1957-30-6,object,landscapes,topic
chndm_1957-58-31,object,architecture,topic
chndm_1958-30-1,object,weaving,topic
chndm_1959-49-229,object,architecture,topic
chndm_1960-249-1,object,architecture,topic
chndm_1961-148-49,object,architecture,topic
chndm_1962-143-121-61,object,graphic arts,topic
chndm_1966-7-31,object,theater,topic
chndm_1969-121-40,object,nature,topic
chndm_1969-121-44,object,architecture,topic
chndm_1991-156-1,object,architecture,topic
chndm_1991-17-5,object,architecture,topic
chndm_2007-53-1,object,architecture,topic
chndm_1950-102-8,object,"fenn, w. j.",creator
chndm_1920-36-295,object,"pillement, jean-baptiste",creator
chndm_1931-45-8,object,"réveillon, jean-baptiste",creator
chndm_1921-6-212-66,object,meissonnier,creator
chndm_1917-4-1313,object,"church, frederic edwin",creator
chndm_1977-31-2-a_g,object,dearle,creator
chndm_1898-6-73,object,durand,creator
chndm_1956-23-6-4,object,rosso,creator
chndm_1952-37-18,object,collaert,creator
chndm_1920-36-179,object, martin,creator
chndm_1920-36-179,object,de monchy,creator
chndm_1907-7-10,object, giovanni,creator
chndm_1904-16-338,object,"blum, robert frederick",creator
chndm_1950-131-23,object,"beham, hans sebald",creator
chndm_1921-6-205,object,cochin,creator
chndm_1984-86-5-53,object,"cox, kenyon",creator
chndm_1938-88-8417,object, philip,creator
chndm_2013-21-40,object,sax,creator
chndm_2000-69-4,object,a.n. davenport co.,creator
chndm_1921-6-205,object, michel,creator
chndm_1921-6-326-25,object,de lajoüe,creator
chndm_1947-131-114,object, adam frans,creator
chndm_1896-16-19,object,"martin, homer dodge",creator
chndm_1979-91-1073,object,"maxwell & co., s.a.",creator
chndm_1921-22-233,object,fabrique de saint ruf,creator
chndm_1921-6-469-6,object, hans,creator
chndm_1896-3-358,object, jean marie,creator
chndm_1955-78-14-13,object, e.,creator
chndm_1938-88-321,object,"toselli, angelo",creator
chndm_1938-88-3498,object,gagliardi,creator
chndm_1938-57-1070-175,object,tenney,creator
chndm_1920-36-170,object,fabrique de saint ruf,creator
chndm_1957-61-46-h,object,tiffany & company,creator
chndm_1917-4-221,object,"church, frederic edwin",creator
chndm_1942-50-117,object,"huntington, daniel",creator
chndm_1921-6-205,object,de bonneval,creator
chndm_1979-91-1287,object,w.h. mairs & co.,creator
chndm_1921-6-504-11,object, a.,creator
chndm_1920-36-43,object,fabrique de saint ruf,creator
chndm_1921-6-212-7-a,object, gabriel,creator
chndm_1973-32-9,object,robert graves co.,creator
chndm_1896-3-281,object,barbieri,creator
chndm_1947-121-1,object,"devrient, t. p.",creator
chndm_1966-7-31,object,"kunisada, utagawa",creator
chndm_1955-78-14-38,object,grimaud,creator
chndm_1938-88-599,object,"righetti, luigi",creator
chndm_1962-156-1-10,object,"haynes, frank jay",creator
chndm_1985-68-7-d,object,"deerfield society of blue and white needlework (american, 1896–1926)",creator
chndm_1921-6-213-7,object,huquier,creator
chndm_1914-38-228-a,object,"lathrop, francis augustus",creator
chndm_1896-3-347,object,wilson,creator
chndm_1953-179-88-34,object,"richards, william trost",creator
chndm_1984-84-13,object,frederick dallas hamilton road pottery,creator
chndm_1901-39-1925,object,"giani, felice",creator
chndm_1896-3-23,object,"dürer, albrecht",creator
chndm_1921-6-282-17,object, françois de,creator
chndm_1981-17-1-a_b,object,american wall paper manufacturers' association,creator
chndm_1924-15-134,object,boucher,creator
chndm_1938-57-1070-230,object, frederick stuart,creator
chndm_1952-166-109,object,wedgwood,creator
chndm_1921-6-282-74,object,de cuvilliés,creator
chndm_1984-84-13,object,nichols,creator
chndm_1989-80-31-a_b,object,orinoka mills,creator
chndm_1995-50-198,object,"buquet, alexandre",creator
chndm_1921-6-231-13,object,chéreau,creator
chndm_1931-45-41,object,"réveillon, jean-baptiste",creator
chndm_1977-110-1-11,object, michelangelo di lodovico,creator
chndm_1904-16-157,object,"blum, robert frederick",creator
chndm_1896-3-281,object,bartolozzi,creator
chndm_1950-5-25,object,dürer,creator
chndm_1917-4-677,object,"church, frederic edwin",creator
chndm_1917-4-178,object,"church, frederic edwin",creator
chndm_1999-17-1-2,object,schübler,creator
chndm_1912-16-52,object,"shirlaw, walter",creator
chndm_1921-6-213-7,object, gabriel,creator
chndm_1967-10-6-a,object,schwartz-huguenin,creator
chndm_1991-17-5,object,"duban, félix-jacques",creator
chndm_1938-57-1070-175,object,church,creator
chndm_1945-6-4-2,object,du cerceau,creator
chndm_1917-4-1332-b,object,"church, frederic edwin",creator
chndm_1993-134-25-a_c,object, william arthur smith,creator
chndm_1938-88-2996,object,"de caro, baldassare",creator
chndm_1921-6-282-62,object,lespilliez,creator
chndm_1977-110-1-36,object,ango,creator
chndm_1954-18-30,object, jan,creator
chndm_1962-198-31,object,drentwet,creator
chndm_1981-28-423,object,gonzalez,creator
chndm_1938-88-473,object,"toselli, angelo",creator
chndm_1979-91-438,object,janeway & co. inc.,creator
chndm_1981-56-9,object,j. & j. g. low art tile works,creator
chndm_1942-50-271,object,"huntington, daniel",creator
chndm_1948-118-19,object,"bellandi, antonio",creator
chndm_1992-156-18,object,"desfossé, jules",creator
chndm_1938-88-284,object, alessandro,creator
chndm_1952-166-109,object, thomas,creator
chndm_1917-4-34-b,object,"church, frederic edwin",creator
chndm_1938-88-3313,object,"manno, francesco",creator
chndm_1938-88-3498,object, giuseppe,creator
chndm_1960-249-1,object,"garton, j. g.",creator
chndm_1940-76-20,object,"hassam, childe",creator
chndm_2013-21-40,object, sara,creator
