objectid,objecttype,attributeid,attributetype
chndm_1902-1-811,object,1770s,date
chndm_1902-1-858,object,1500s,date
chndm_1902-1-858,object,1600s,date
chndm_1902-1-904,object,1600s,date
chndm_1902-1-904,object,1620s,date
chndm_1902-10-2,object,1900s,date
chndm_1903-11-24,object,1670s,date
chndm_1903-11-24,object,1680s,date
chndm_1904-16-125,object,1870s,date
chndm_1904-16-157,object,1870s,date
chndm_1904-16-16-b,object,1890s,date
chndm_1904-16-242,object,1880s,date
chndm_1904-16-302,object,1880s,date
chndm_1904-16-338,object,1880s,date
chndm_1904-16-45-c,object,1880s,date
chndm_1904-20-100,object,1780s,date
chndm_1904-20-320,object,1800s,date
chndm_1904-20-320,object,1900s,date
chndm_1904-20-431,object,1800s,date
chndm_1904-20-431,object,1850s,date
chndm_1904-21-19,object,1630s,date
chndm_1904-21-19,object,1640s,date
chndm_1905-2-100,object,1600s,date
chndm_1905-2-100,object,1700s,date
chndm_1905-2-135,object,1600s,date
chndm_1905-2-135,object,1700s,date
chndm_1905-2-189-a_b,object,1700s,date
chndm_1905-2-189-a_b,object,1800s,date
chndm_1905-2-71,object,1800s,date
chndm_1905-2-71,object,1900s,date
chndm_1906-15-21,object,1760s,date
chndm_1906-15-21,object,1850s,date
chndm_1906-15-31,object,1810s,date
chndm_1906-15-31,object,1820s,date
chndm_1906-15-35-a_b,object,1820s,date
chndm_1906-15-35-a_b,object,1830s,date
chndm_1906-21-222,object,1780s,date
chndm_1906-21-222,object,1800s,date
chndm_1907-17-27,object,1810s,date
chndm_1907-17-67,object,1820s,date
chndm_1907-17-8,object,1820s,date
chndm_1907-5-27,object,1800s,date
chndm_1907-5-27,object,1820s,date
chndm_1907-7-10,object,1710s,date
chndm_1907-7-10,object,1720s,date
chndm_1908-13-15,object,1720s,date
chndm_1908-13-15,object,1770s,date
chndm_1908-15-6,object,1800s,date
chndm_1908-15-6,object,1900s,date
chndm_1908-17-2,object,1790s,date
chndm_1908-17-2,object,1800s,date
chndm_1908-26-137,object,1770s,date
chndm_1908-26-137,object,1800s,date
chndm_1908-26-96,object,1600s,date
chndm_1908-26-96,object,1700s,date
chndm_1908-6-1,object,1800s,date
chndm_1908-6-1,object,1890s,date
chndm_1909-13-127,object,1820s,date
chndm_1909-13-127,object,1850s,date
chndm_1909-13-17,object,1830s,date
chndm_1909-13-17,object,1840s,date
chndm_1909-13-26,object,1810s,date
chndm_1909-13-26,object,1840s,date
chndm_1909-13-39,object,1820s,date
chndm_1909-13-39,object,1850s,date
chndm_1909-13-4,object,1800s,date
chndm_1909-13-4,object,1820s,date
chndm_1909-13-91,object,1810s,date
chndm_1909-13-91,object,1840s,date
chndm_1909-2-193,object,1800s,date
chndm_1909-2-193,object,1900s,date
chndm_1909-2-20,object,1800s,date
chndm_1909-2-20,object,1900s,date
chndm_1909-2-37,object,1820s,date
chndm_1909-2-37,object,1830s,date
chndm_1909-2-4,object,1800s,date
chndm_1909-2-4,object,1900s,date
chndm_1909-2-5,object,1800s,date
chndm_1909-2-5,object,1900s,date
chndm_1909-22-1-25,object,1600s,date
chndm_1909-22-1-25,object,1690s,date
chndm_1909-22-4-31,object,1600s,date
chndm_1909-22-4-31,object,1690s,date
chndm_1909-25-25,object,1740s,date
chndm_1909-25-25,object,1750s,date
chndm_1909-26-2-a_b,object,1810s,date
chndm_1909-26-2-a_b,object,1820s,date
chndm_1910-24-13,object,1760s,date
chndm_1910-24-13,object,1770s,date
chndm_1910-45-2-a,object,1770s,date
chndm_1910-45-2-a,object,1800s,date
chndm_1911-28-154,object,1740s,date
chndm_1911-28-154,object,1750s,date
chndm_1911-28-19-3,object,1760s,date
chndm_1911-28-19-3,object,1770s,date
chndm_1911-28-196,object,1760s,date
chndm_1911-28-196,object,1780s,date
chndm_1911-28-266,object,1770s,date
chndm_1911-28-266,object,1780s,date
chndm_1911-28-332,object,1820s,date
chndm_1911-28-332,object,1830s,date
chndm_1911-28-361,object,1820s,date
chndm_1911-28-361,object,1830s,date
chndm_1911-28-376,object,1820s,date
chndm_1911-28-376,object,1830s,date
chndm_1911-28-377,object,1820s,date
chndm_1911-28-377,object,1830s,date
chndm_1911-28-396,object,1680s,date
chndm_1911-28-400,object,1720s,date
chndm_1911-28-400,object,1730s,date
chndm_1911-28-437,object,1800s,date
chndm_1911-28-442,object,1780s,date
chndm_1911-28-64,object,1750s,date
chndm_1911-28-64,object,1770s,date
chndm_1911-28-82-1,object,1780s,date
chndm_1911-28-82-1,object,1790s,date
chndm_1911-28-9,object,1730s,date
chndm_1911-28-9,object,1750s,date
chndm_1911-31-7,object,1750s,date
chndm_1911-31-7,object,1760s,date
chndm_1911-7-5,object,1830s,date
chndm_1911-7-5,object,1840s,date
chndm_1912-12-142,object,1860s,date
chndm_1912-12-252,object,1890s,date
chndm_1912-12-260,object,1860s,date
chndm_1912-12-41,object,1880s,date
chndm_1912-12-52,object,1850s,date
chndm_1912-12-52,object,1860s,date
chndm_1912-12-66,object,1870s,date
chndm_1912-16-1,object,1870s,date
chndm_1912-16-1,object,1880s,date
chndm_1912-16-33,object,1870s,date
chndm_1912-16-52,object,1890s,date
chndm_1912-16-52,object,1900s,date
chndm_1912-16-64,object,1870s,date
chndm_1913-17-26-a_b,object,1830s,date
